Group or Channel Name|Chat Type|Chat URL|Number of Members or Subscribers|Description|Scrapped From|Scrapped Date
Telegram anal|group|https://t.me/+wCtJHcUa5yc5YWUx|3291|N/A|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:47.125047
Trans Girl|group|https://t.me/transgiirl|11935|As Trans mais Gostosas estao no TSWORLD https://tsworld.club/register?ref=Areatranss|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:49.046818
FREE NOVINHAS HOT|group|https://t.me/novinhasshot|2209|You can view and join @novinhasshot right away.|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:34:54.687689
Pornogrambr_free|group|https://t.me/pornogrambr_free|1075|Maior e melhor canal para previa de conteudos +18 EXPLICITO DO BR. Venha conferir!!!|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:34:55.051676
Conteudos|channel|https://t.me/joinchat/1MW33RPrVOM5Yzkx|62965|+18, nao venham no meu PV pedir coisas proibidas @oconteudos18|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:34:56.477296
!!NIONO!!|group|https://t.me/joinchat/d5rH_1XjyVozYTEx|1871|LINK DO CANAL: https://t.me/especialsex90LINK DO GRUPO: https://t.me/joinchat/QYGT6euXw5c1MGVhCONVENTO HOT: https://t.me/joinchat/WgQniZIRX_04YzNh|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:34:56.968601
QUARTEL DOS PACKS|group|https://t.me/joinchat/MkXYcohljQwzODZh|78350|PROIBIDO CP,ZOO GORE E MENORES DE 18 ANOS PROIBIDO DIVULGAR PACKS NO GRUPO SEM SER VERIFICADA PROIBIDO QUALQUER PROPAGANDA SEM PERMISSAO|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:34:57.799930
Close Friends Gratis|group|https://t.me/+_BCc7Yz-2VExNmY5|3388|@CloseFriendsBrasil@CloseFriendsBrasil|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:34:59.531191
Liveszinhas|group|https://t.me/liveszinhas|4390|You can view and join @liveszinhas right away.|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:00.511785
Mestre dos links|group|https://t.me/mestredoslinks|10215|Melhor Grupo de onlyfans do Brasil @mestredoslinks|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:05.079647
Vegas Lives Facecast  Canal Free|group|https://t.me/vegaslivesfree|21303| VENHA PARA O VIP So chamar: @vegaslivesbotCanal com as melhores lives de novinhas do periscope, facecast e bigo live. Postamos novas lives diariamente.|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:07.178879
Conteudos|group|https://t.me/oconteudos18|62965|+18, nao venham no meu PV pedir coisas proibidas @oconteudos18|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:08.264011
Close Friends Gratis|group|https://t.me/joinchat/_BCc7Yz-2VExNmY5|3388|@CloseFriendsBrasil@CloseFriendsBrasil|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:08.765078
Conteudos|channel|https://t.me/+1MW33RPrVOM5Yzkx|62965|+18, nao venham no meu PV pedir coisas proibidas @oconteudos18|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:16.751220
Irmas PervertidaS|group|https://t.me/pornolandia9|37515| CAnAL CRIADO nO DIA 04/04/2022 |https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:17.694099
Tufos & Hentai|channel|https://t.me/+8x1LHTx_5yhjZThh|1224|N/A|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:22.483981
Secretinhoteen|group|https://t.me/secretinhoteen|2294|Destinado a midias de novinha|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:31.187092
Putaria 24 hrs|group|https://t.me/putaria24hrssssz|3473|Os melhores conteudos Onlyfan esta presente na versao vip, venha conhecer.. @sextaaa_feiraaa|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:38.718232
CORNOS E ESPOSINHAS|group|https://t.me/cornosesposas|3966| Seja bem-vindo ao Cornos e Esposas, aqui voce encontra tudo que deseja.Siga as regras (bom senso) e seja feliz. Adquira o VIP pelo @pagamentosvipbot e garanta o melhor do conteudo cuckold!|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:45.093171
Putaria liberada|group|https://t.me/+INILuahc5SJhYjFh|1737|Grupo pra putaria e compra de conteudo adulto  modelos verificadas  Link: https://t.me/+JQgMdSTur9oxZjVhDona: @MaiKurijima|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:50.233765
PRIVATE SEXXXVIP69 FREE|group|https://t.me/VIKINGSEXXXVIP69|2335|VIKINGS SEXXXVIP69   As melhores previas do grupo vip oficial  Las mejores wapas del grupo vip oficial   SEXXXVIP69 FACA PARTE AGORAHAGA PARTE AHORA @RAGNARCLOSEFRIENDS|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:50.702524
Pornozao Gay Free|group|https://t.me/conteudogay18|1073|You can view and join @conteudogay18 right away.|https://telegramputaria.com/tags/canais-e-grupos-de-telegram-18/|2023-11-26 00:35:51.156076
NOVINH4S +18|channel|https://t.me/+ZdNPxqUK8N9mNzUx|4242|Seja VIP  @vipd33pweb_bot(C)(L)(I)(Q)(U)(E) em \"Pedir Para Entrar\" |https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:36:23.140375
Achei na Web|group|https://t.me/sovempromelhorvip|1592|You can view and join @sovempromelhorvip right away.|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:36:50.233263
VAZADInHA BR|group|https://t.me/vazabr|7674|You can view and join @vazabr right away.|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:37:04.467941
Vazadinhos|group|https://t.me/centralvazadinhos|2678|Sejam bem vindos ao VazadinhosAqui voces vao achar varias gatinhas da NetGrupo VIP  R$15,00Vazadinhos da Net R$15,00Vazadinhos Lives  R$15,00Sabe as vantagens pelo chat @Vazadinhos_AtendimentoRedes sociais: http://linktr.ee/vazadinho|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:38:31.295963
Onlyfans porno|group|https://t.me/sexofreee|8261| RECANTO DOS PRAZERES SORDIDO               Suporte  @sextaaa_feiraaa|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:38:35.717754
El.Rincon2.0|group|https://t.me/elrincon200|14202|The best Free onlyfans groupEl mejor grupo de onlyfans gratis |https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:38:38.100262
VAZOU NO INSTAGRAM|group|https://t.me/VAZOU_NO_INSTAGRAM|2018|NOSSO OUTRO GRUPO @FAVELADAS_2023 ENTREM NO VIP FALAR COM @CrisDona01|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:38:40.654343
Melissa Portinari  FREE|group|https://t.me/portinarifree|2270|Esta esperando o que para conhecer essa novinha de apenas 19 anos?Grupo VIP telegram?https://t.me/melissaportinari_botTenha acesso a todos os seus conteudos em https://privacy.com.br/Profile/portinarivip|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:38:47.435490
FREE OnlyFans BR|group|https://t.me/freeonlyfansbr2023|1851|O melhor canal VIP voce tera acesso a todos os Onlyfans, Privacy, Close Friends, Xvideos RED & Facecast...|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:38:49.482208
Safadinhas Amadoras|group|https://t.me/safadinhas02|1004|Regras do grupo:Proibido Pedofilia Proibido zoofiliaProibido postar fotos e videos de pauProibido desrespeitar os membrosProibido uso de palavroesProibido menor idadeProibido invadir pv|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:39:09.936296
Vazadinhos|group|https://t.me/vazadinhos02|1514|You can view and join @vazadinhos02 right away.|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:39:30.298500
Novinhas se Masturbando|group|https://t.me/novinhasemasturbando|3445|Se voce tem o PAU pequeno voce nao esta agradando todas as mulheres...Voce pode aumentar o tamanho do seu Pau sim! Temos um produto gel chamado \"Libid Gel\" testado pelo proprio Kid Bengala, que vai te ajudar, Veja mais no link: http://mon.net.br/16q6lb|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:39:34.548843
Putaria das Novinha|group|https://t.me/putariadasnovinha|1804|Se voce tem o PAU pequeno voce nao esta agradando todas as mulheres...Voce pode aumentar o tamanho do seu Pau sim! Temos um produto gel chamado \"Libid Gel\" testado pelo proprio Kid Bengala, que vai te ajudar, Veja mais no link: http://mon.net.br/16q6lb|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:39:37.674577
Only Vazados BR|group|https://t.me/onlyvazadosbr|1243|O melhor canal VIP voce tera acesso a todos os Onlyfans, Privacy, Close Friends, Xvideos RED & Facecast...|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:39:43.411029
CF das famosas VIP|group|https://t.me/onlyfriendsfree|4336|You can view and join @onlyfriendsfree right away.|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:39:59.441624
VAZOU AQUI|channel|https://t.me/joinchat/xbjaZgQQfuY5YTYx|1184|N/A|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:00.196070
ONLYFANS FREE BR|group|https://t.me/onlyfnsgratis|1162|You can view and join @onlyfnsgratis right away.|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:00.949465
Lo Cartel +18 OnlyFans FREE|group|https://t.me/gozolandiafree|1710|ATENCAO  ! O melhor grupo com conteudo de Onlyfans,Privacy e Pantheon. Nao Perca tempo e garanta ja sua diversao no Vip .|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:05.738944
OnlyFans Gratis|group|https://t.me/OnlyFansFree58|1775|Sejam bem vindos ao grupo!Pra divulgar o seu grupo, ser uma verificada ou entrar no grupo vip chama o @Spider6835 no pvValores do grupo VipO valor do acesso a cada VIP e R$45,00 mensal e R$60,00 Vitalicio|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:08.048654
Novinhas e Putarias|group|https://t.me/HTQvz8_5oawwZGZhgjtd|2746|You can view and join @HTQvz8_5oawwZGZhgjtd right away.|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:09.612337
ONLYFANS BR(tm)|group|https://t.me/onlyfansdassafadas|1093|Grupo pra compartilhar midias de OnlyFans, CloseFriends, xvideosRed entre outrosProibidoPedofiliaZoofiliaFoto de pauFloodarPreconceito com os membrosQualquer coisa ilegalQuem descumprir as regras sera removido|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:13.459845
OnlyFans Gratis|group|https://t.me/OnlyFansGrats|6512|Onlyfans        OrganizadoClosefriends Postagem diaria                           Privacy           + 700 gatas                                160 MIL MIDIAS|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:15.004008
OnlyFans [FREE]|group|https://t.me/Only_Fans_OF|4595|Onlyfans        OrganizadoClosefriends Postagem diaria                           Privacy           + 700 gatas                                160 MIL MIDIAS|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:40:15.768872
VAZOU AQUI|channel|https://t.me/joinchat/GzC5U-Lbak0yNmVh|1184|N/A|https://gruposporno.com.br/telegram/category/novinhas-18/|2023-11-26 00:41:06.606058
VAZADINHAS +18|channel|https://t.me/+V4O8opQX9jJlMmMx|1445|(C)(L)(I)(Q)(U)(E) em \"Pedir Para Entrar\" |https://linkdegrupoadulto.com/|2023-11-26 00:41:27.512439
Planeta da Putaria|channel|https://t.me/+Z6zH7isggpkxOGIx|2781|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:41:31.074592
Vazados Only, Privacy|group|https://t.me/+sEWuNzrF_iI5OGUx|2513|Vazados OnlyFans, Privacy das gostosas influencers.|https://linkdegrupoadulto.com/|2023-11-26 00:41:56.543134
Novinhas Safadas|group|https://t.me/+rXQP6S0KV2kyOTkx|2503|Curte conteudo hot de novinhas? Esta no lugar certo!  Conteudo de novinhas maiores de idade. Proibido conteudo de menores, isso e crime!|https://linkdegrupoadulto.com/|2023-11-26 00:41:57.089965
Putaria em Live|channel|https://t.me/+mj5x1EqUg-FjOTRh|1418|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://linkdegrupoadulto.com/|2023-11-26 00:42:03.168115
Putaria em Live|channel|https://t.me/+6r_Bdxfz05tjN2Yx|1418|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://linkdegrupoadulto.com/|2023-11-26 00:42:35.861649
PROIBIDAO TRANS(tm)|channel|https://t.me/+G-MOpuRV11kwMjA5|4511|Doces ou Travessuras? |https://linkdegrupoadulto.com/|2023-11-26 00:42:48.933288
OnlyFans das TikTokers|channel|https://t.me/+Hv53fdYPo1BiZDdh|1081|Agora voce pode ver aquela TikToker gostosinha sem roupa e meladinha.|https://linkdegrupoadulto.com/|2023-11-26 00:42:52.141430
Novinhas Safadas|group|https://t.me/+rg4VvtudMDpiYmRh|2503|Curte conteudo hot de novinhas? Esta no lugar certo!  Conteudo de novinhas maiores de idade. Proibido conteudo de menores, isso e crime!|https://linkdegrupoadulto.com/|2023-11-26 00:43:21.449861
Porno Trans chat&media|group|https://t.me/pornotranschatemedia|4873| GRUPO DE TROCA DE MIDIAS TRANS +18 E BATE PAPO A VONTADE  PROIBIDO CP  PROIBIDO ENTRAR NO PV DE VERIFICADAS SEM AUTORIZACAO PROIBIDO FOTO DE  DE HOMEMATENCAO: PORNOGRAFIA NAO E SAUDAVEL, CONSUMA COM MODERACAO|https://linkdegrupoadulto.com/|2023-11-26 00:43:22.261107
PORNFLIX|channel|https://t.me/+SbxwE2oj0hg0MGNh|5081|O melhor canal de VAZADAS de todos |https://linkdegrupoadulto.com/|2023-11-26 00:43:27.382984
Putaria em Live|channel|https://t.me/+T2JjD_yFCdk0NWE5|1418|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://linkdegrupoadulto.com/|2023-11-26 00:43:47.823476
PROIBIDAO TRANS(tm)|channel|https://t.me/+VFJGpHnKW4JlZWQ5|4511|Doces ou Travessuras? |https://linkdegrupoadulto.com/|2023-11-26 00:43:49.382059
Onlyfans e Privacy|channel|https://t.me/+_VbA1SQa1QUxYTUx|4679|O Melhor canal de vazadas Onlyfans e Privacy da Internet. Vem se divertir com o melhor conteudo das melhores Influencers Privacy e Onlyfans.|https://linkdegrupoadulto.com/|2023-11-26 00:43:52.160205
Bar Dos Corno|group|https://t.me/+zaXRUw_gJZ9mMjkx|20993|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:44:10.401363
Mega packs e vazados 1k|group|https://t.me/+azoaTqQkYD1jZDE5|1444|Aqui no grupo e so os vazados foda Grupo privado 10R$Conteudo especifico (spy cam, Incesto, cp, subs, Live, etc) chama o adm no pv|https://linkdegrupoadulto.com/|2023-11-26 00:44:11.854532
OnlyFans das TikTokers|channel|https://t.me/+exq5GLVbH1w2ZTcx|1081|Agora voce pode ver aquela TikToker gostosinha sem roupa e meladinha.|https://linkdegrupoadulto.com/|2023-11-26 00:44:18.557830
Novinhas Safadas|group|https://t.me/+fYBv3fql9ygyYzdh|2503|Curte conteudo hot de novinhas? Esta no lugar certo!  Conteudo de novinhas maiores de idade. Proibido conteudo de menores, isso e crime!|https://linkdegrupoadulto.com/|2023-11-26 00:44:19.164206
Vazados Only, Privacy|group|https://t.me/+ciOJeu00Y3hjMzQx|2513|Vazados OnlyFans, Privacy das gostosas influencers.|https://linkdegrupoadulto.com/|2023-11-26 00:44:19.695789
MetFlix Brasil|channel|https://t.me/+r97SHwjN_Y84ZWYx|4883|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:44:21.302802
FAMILY|group|https://t.me/+fclXS5DKMhM5MTUx|1012|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:44:36.183070
MELHORES VAZADO DA NET|channel|https://t.me/+-FJtesxZA1o5Mzhh|23410|o SEU melhor canal de conteudo vazado e exclusivo do Brasil|https://linkdegrupoadulto.com/|2023-11-26 00:44:38.233190
Novinhas Safadas|group|https://t.me/+OPrLju_q5oRiZDMx|2502|Curte conteudo hot de novinhas? Esta no lugar certo!  Conteudo de novinhas maiores de idade. Proibido conteudo de menores, isso e crime!|https://linkdegrupoadulto.com/|2023-11-26 00:44:40.120950
Vazados Famosinhas Insta|group|https://t.me/+wh-b0HFiD-BkMGUx|3434|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:44:41.135483
Vazados Only, Privacy|group|https://t.me/+kqXt17rQcBhjN2Fh|2513|Vazados OnlyFans, Privacy das gostosas influencers.|https://linkdegrupoadulto.com/|2023-11-26 00:44:41.682381
NOVINHAS BUCETUDAS|group|https://t.me/+N1EocEwkOWBjZTVh|1225|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:45:02.933494
@HQCOMICS INCESTO|channel|https://t.me/+ZQrxstl3cdxmNmU5|38152|Todos os personagens sao maiores de 18 anos|https://linkdegrupoadulto.com/|2023-11-26 00:45:03.994997
NOVINHAS BUCETUDAS|group|https://t.me/+VGtPkP5EAusxODRh|1225|N/A|https://linkdegrupoadulto.com/|2023-11-26 00:45:05.838819
Amadorzao +18|channel|https://t.me/+moBkzqzbD5RjMzRh|1045|Curte um amadorzao de uma gostosinha de quatro, de ladinho, antes de dormir, mamando o amigo?|https://linkdegrupoadulto.com/|2023-11-26 00:45:08.011970
Putaria em Live|channel|https://t.me/+_ehwQzfF7thmNmZh|1418|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://linkdegrupoadulto.com/|2023-11-26 00:45:08.525894
Novinhas Vazadas +18|channel|https://t.me/+X6gnIyK6e7ZjODlh|2007|Previas do Grupo Vip Novinhas Vazadas. Para quem curte um conteudinho de novinhas safadas.|https://linkdegrupoadulto.com/|2023-11-26 00:45:09.042277
Novinhas Safadas|group|https://t.me/+30PbEdq2xH8wMGQx|2502|Curte conteudo hot de novinhas? Esta no lugar certo!  Conteudo de novinhas maiores de idade. Proibido conteudo de menores, isso e crime!|https://linkdegrupoadulto.com/|2023-11-26 00:45:09.715004
Vazados Only, Privacy|group|https://t.me/+AmaN7ca1QKtlNDYx|2513|Vazados OnlyFans, Privacy das gostosas influencers.|https://linkdegrupoadulto.com/|2023-11-26 00:45:10.229231
HotPackVips|channel|https://t.me/+lN1zGZAwKrQ1MWNh|4220|Packs|https://linkdegrupoadulto.com/|2023-11-26 00:45:29.368245
Putaria Generalizada|group|https://t.me/+z3BeXm66kUNlNjIx|11916|Vem conversar com varias pessoas cheia de tesao no melhor chat do telegram!Estamos esperando por vc. @amPutaria|https://linkdegrupoadulto.com/|2023-11-26 00:45:30.687394
Nuds Novinhas|group|https://t.me/+tsawyIg2D44zYzgx|3911|N/A|https://linkdegrupoporno.xyz/|2023-11-26 00:46:59.290790
[D][V][R][K] Ninfetas|channel|https://t.me/+VQb4WdoeX6w4NjRh|3375|N/A|https://grupodeputaria.net/telegram/|2023-11-26 00:47:28.571876
V4ZADOS BANIDOS Extremos|channel|https://t.me/+CjWKi6jnZEBhMTk5|1723|N/A|https://grupodeputaria.net/telegram/|2023-11-26 00:47:28.787900
Garotos Safados  [PREVIAs]|group|https://t.me/+XsiNLvK6IbRjMmVh|11897|OnlyFans * Privacy * Amador * Dotados * Sem Camisinha * Famosos * Packs * Vazados * XVideos Red * Meninos Online * Irmaos Dotados * HotBoys * Mundo Mais * Men * MenAtPlay * Lucas Entertainment * IOMacho * TimTales * TransAngels * LatinBoyz e muito mais.|https://grupodeputaria.net/telegram/|2023-11-26 00:47:28.993717
Hora do Porno|channel|https://t.me/+it3pBnXpp7E2ZWJh|22986|OnlyFansLives AmadorasPorno PremiumPorno TransSexy BoysPorno Premium AnalCameras de segurancaCameras escondidasHQs|https://grupodeputaria.net/telegram/|2023-11-26 00:47:29.196956
Porno Premium [Previas]|channel|https://t.me/+mPNSIyuSybA3ZGYx|6372|Canal para a pub de previas. OnlyFans AmadoresPorno PremiumHQs|https://grupodeputaria.net/telegram/|2023-11-26 00:47:29.404481
Farm Dos Vazados|channel|https://t.me/+9YoGhmjzEHtkZTlh|15500|N/A|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:48:07.628469
Putaria em Live|channel|https://t.me/+EzhhXfnqIb42YjIx|1418|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:48:09.555637
LISTA DE PACKS FREE|group|https://t.me/reidopack|2054|You can view and join @reidopack right away.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:48:12.086793
FETICHEs +18|channel|https://t.me/+BrlhVdoKcI9iMGEx|7063|N/A|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:48:13.463016
Vazados Only, Privacy|group|https://t.me/+X7PY8LufqB9jNWQx|2513|Vazados OnlyFans, Privacy das gostosas influencers.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:49:10.742802
Onlyfans e Privacy|channel|https://t.me/+dnG_2RD9XSI0Zjgx|4677|O Melhor canal de vazadas Onlyfans e Privacy da Internet. Vem se divertir com o melhor conteudo das melhores Influencers Privacy e Onlyfans.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:49:14.024002
Putaria em Live|channel|https://t.me/+2e1VzopuQVM0YTgx|1416|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:50:15.476339
Onlyfans e Privacy|channel|https://t.me/+g7kQodU9kb80Njlh|4676|O Melhor canal de vazadas Onlyfans e Privacy da Internet. Vem se divertir com o melhor conteudo das melhores Influencers Privacy e Onlyfans.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:50:16.023253
PROIBIDAO TRANS(tm)|channel|https://t.me/+Fqm7om5zv6UzOWQx|4508|Doces ou Travessuras? |https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:50:25.554380
Megapacks|group|https://t.me/Megaapacks|1477|You can view and join @Megaapacks right away.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:50:27.028009
Vazados Only, Privacy|group|https://t.me/+u36kJcTQjeE1ZDlh|2511|Vazados OnlyFans, Privacy das gostosas influencers.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:18.210169
Novinhas Safadas|group|https://t.me/+LVFjmXrxuYpjNDMx|2500|Curte conteudo hot de novinhas? Esta no lugar certo!  Conteudo de novinhas maiores de idade. Proibido conteudo de menores, isso e crime!|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:19.663631
Amadorzao +18|channel|https://t.me/+CDBNu3ZEE240ZThh|1045|Curte um amadorzao de uma gostosinha de quatro, de ladinho, antes de dormir, mamando o amigo?|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:20.585208
Novinhas Vazadas +18|channel|https://t.me/+DOneZ5ZSBlsxNWNh|2007|Previas do Grupo Vip Novinhas Vazadas. Para quem curte um conteudinho de novinhas safadas.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:21.133203
Onlyfans e Privacy|channel|https://t.me/+UXeZPRYHehtjZTcx|4676|O Melhor canal de vazadas Onlyfans e Privacy da Internet. Vem se divertir com o melhor conteudo das melhores Influencers Privacy e Onlyfans.|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:22.453032
SexLegendado FREE|group|https://t.me/SexLegendadoFREE|1019|Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:25.884231
PornolegendadoXXX|group|https://t.me/pornolegendadoxxx|1499|Canal Oficial do Telegram do site PornolegendadoXXX, Atualizacao de post do site todos os dias ta esperando oque pra entrar? Conteudo quente com legenda link abaixo https://www.pornolegendadoxxx.com/|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:27.163246
HentaiXXX|group|https://t.me/hentaihqFree|2246|Parceria  : Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:29.699358
Channel Free Pack|group|https://t.me/channelfreepack|6926|Parceria  : Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/Todas as noites, temos conteudo novo fresquinho so pra voce! Mantenha-se atualizadoContato: @Sadboy_MJEmail: Kaizenapves@gmail.com|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:51:31.585214
HOT LIVES|channel|https://t.me/+3adk9_cuLNA1YzZh|1241|Melhor Canal de Diversas Categorias de +18: https://t.me/MegaapacksParceria  : Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:52:39.147070
Channel Free Packs II|channel|https://t.me/+n3i_kfdQ13tmYzlh|1860|Parceria  : Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/Todas as noites, temos conteudo novo fresquinho so pra voce! Mantenha-se atualizadoContato: @Sadboy_MJEmail: Kaizenapves@gmail.com|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:53:32.945894
HOT LIVES|channel|https://t.me/+h1KlhR03jig5MzIx|1241|Melhor Canal de Diversas Categorias de +18: https://t.me/MegaapacksParceria  : Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:54:16.959726
Amadorzao +18|channel|https://t.me/+Yez0v4B-PU4yZTRh|1045|Curte um amadorzao de uma gostosinha de quatro, de ladinho, antes de dormir, mamando o amigo?|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:54:24.006472
Putaria em Live|channel|https://t.me/+7zTlYuJUpgQ5MTFh|1416|Lives com mais de 30min, 1hr de novinhas, coras se exibindo, mamando, fodendo, dancando, se arrumando e muito mais...|https://www.gruposdelinks.com.br/category/adulto/|2023-11-26 00:54:24.583846
CENTRAL DA REVOADA hat 13K|group|https://t.me/+48eKXYP92Q4xN2Fh|13626|N/A|https://www.grupotelegram.com.br/18/|2023-11-26 00:58:12.566160
MisticaTv|channel|https://t.me/+MoLURqNqjP9iNzNh|5193|Aqui voce vai encontrar um pouquinho do meu mundinho!|https://www.grupotelegram.com.br/18/|2023-11-26 00:58:16.190995
KWAI|group|https://t.me/kwai1818|2812|BEM VINDO Grupo de Conteudo Adulto de categorias diversas. Postamos em media 2000 mil novidades por mes. Acesse a pasta de midias para ver tudo.NAO EXIBIMOS E NEM VENDEMOS MATERIAL ILEGAL. NAO CONSIDERE -18y A JUVENTUDE DOS ENVOLVIDOS NOS CONTEUDOS!|https://www.grupotelegram.com.br/18/|2023-11-26 00:58:17.159793
Clube  Oficial|channel|https://t.me/+8OyhTMgyE01hNDU5|9329|N/A|https://www.grupotelegram.com.br/18/|2023-11-26 00:58:17.737866
MELHORES VAZADO DA NET|channel|https://t.me/+mnwRpov-n4VlMmZh|23413|o SEU melhor canal de conteudo vazado e exclusivo do Brasil|https://www.grupotelegram.com.br/18/|2023-11-26 00:58:18.322535
